Symbol,Type,Price~,Latest,"Exp Date",DTE,Strike,Moneyness,Bid,Ask,Mid,Volume,"Open Int",IV,"IV Rank","IV Pctl",Delta,Gamma,Theta,Vega,Rho,"ITM Prob","OTM Prob","Profit Prob","BE (Bid)","BE (Ask)","BE (Mid)"
GPRE,Call,18.07,0,2026-12-18,228,13.00,+28.06%,5.7,7.4,6.55,0,0,72.59%,35.67%,51%,0.799449,0.026193,-0.005989,0.038483,0.040835,71.70%,28.30%,47.62%,18.7,20.4,19.55
GPRE,Call,18.07,0,2026-12-18,228,12.00,+33.59%,6.4,8,7.2,0,48,73.09%,35.67%,51%,0.834727,0.022931,-0.005263,0.033826,0.039339,76.07%,23.93%,48.75%,18.4,20,19.2
GPRE,Call,18.07,0,2026-12-18,228,25.00,-38.35%,1.25,2.55,1.9,0,110,68.35%,35.67%,51%,0.369652,0.03833,-0.008021,0.053396,0.027927,27.39%,72.61%,24.47%,26.25,27.55,26.9
GPRE,Call,18.07,0,2026-12-18,228,11.00,+39.13%,7.1,8.8,7.95,0,0,75.39%,35.67%,51%,0.864814,0.019303,-0.004651,0.029277,0.037187,79.76%,20.24%,49.89%,18.1,19.8,18.95
GPRE,Call,18.07,0,2026-12-18,228,10.00,+44.66%,7.9,9.5,8.7,0,50,76.43%,35.67%,51%,0.894154,0.015892,-0.003863,0.024297,0.034306,83.63%,16.37%,50.62%,17.9,19.5,18.7
GPRE,Call,18.07,0,2026-12-18,228,27.00,-49.42%,0.9,1.95,1.43,0,0,65.75%,35.67%,51%,0.303973,0.036968,-0.007171,0.049553,0.024087,21.98%,78.02%,20.16%,27.9,28.95,28.43
GPRE,Call,18.07,0,2026-12-18,228,9.00,+50.19%,8.6,10.5,9.55,0,0,80.42%,35.67%,51%,0.915606,0.012637,-0.003323,0.020218,0.030952,86.36%,13.64%,51.65%,17.6,19.5,18.55
GPRE,Call,18.07,0,2026-12-18,228,8.00,+55.73%,9.5,11.2,10.35,0,0,80.12%,35.67%,51%,0.940767,0.009505,-0.002385,0.014967,0.026592,90.09%,9.91%,52.02%,17.5,19.2,18.35
GPRE,Call,18.07,0,2026-12-18,228,7.00,+61.26%,10.1,12.2,11.15,0,596,73.61%,35.67%,51%,0.971084,0.005587,-0.001071,0.0078,0.018332,94.85%,5.15%,53.78%,17.1,19.2,18.15
GPRE,Call,18.07,0.92,2026-12-18,228,30.00,-66.02%,0.5,1.45,0.98,0,28,64.26%,35.67%,51%,0.228876,0.032794,-0.006083,0.042969,0.01893,15.91%,84.09%,15.13%,30.5,31.45,30.98
GPRE,Call,18.07,0,2026-12-18,228,5.00,+72.33%,12.9,14.3,13.6,0,104,144.77%,35.67%,51%,0.949314,0.004567,-0.003704,0.012986,0.015128,86.93%,13.07%,50.33%,17.9,19.3,18.6
GPRE,Call,18.07,4.2,2027-01-15,256,17.00,+5.92%,4.2,5.2,4.7,0,266,72.18%,35.67%,51%,0.651673,0.033159,-0.007624,0.054614,0.043724,54.02%,45.98%,39.58%,21.2,22.2,21.7
GPRE,Call,18.07,2.8,2027-01-15,256,20.00,-10.68%,2.75,3.8,3.28,0,3146,66.54%,35.67%,51%,0.535444,0.03887,-0.007666,0.059121,0.041007,42.78%,57.22%,33.97%,22.75,23.8,23.28
GPRE,Call,18.07,5.05,2027-01-15,256,15.00,+16.99%,4.7,6.3,5.5,0,244,69.91%,35.67%,51%,0.723532,0.030797,-0.006596,0.049045,0.04572,62.48%,37.52%,44.14%,19.7,21.3,20.5
GPRE,Call,18.07,0,2027-01-15,256,22.00,-21.75%,2.25,3.2,2.73,0,0,67.05%,35.67%,51%,0.47007,0.038715,-0.007771,0.059363,0.037288,36.30%,63.70%,30.02%,24.25,25.2,24.73
GPRE,Call,18.07,0,2027-01-15,256,12.00,+33.59%,6.7,8.3,7.5,0,12,77.30%,35.67%,51%,0.823566,0.021299,-0.005443,0.037288,0.041867,73.64%,26.36%,47.89%,18.7,20.3,19.5
GPRE,Call,18.07,0,2027-01-15,256,25.00,-38.35%,1.6,2.5,2.05,0,51,67.14%,35.67%,51%,0.382365,0.037167,-0.007497,0.057094,0.031864,28.18%,71.82%,24.58%,26.6,27.5,27.05
GPRE,Call,18.07,8.8,2027-01-15,256,10.00,+44.66%,8.8,9.2,9,0,16140,83.36%,35.67%,51%,0.877495,0.015282,-0.004419,0.02863,0.036355,80.17%,19.83%,47.74%,18.8,19.2,19
GPRE,Call,18.07,0,2027-01-15,256,27.00,-49.42%,1.2,1.9,1.55,0,0,64.40%,35.67%,51%,0.317103,0.03624,-0.00674,0.053416,0.02758,22.83%,77.17%,20.46%,28.2,28.9,28.55
GPRE,Call,18.07,10,2027-01-15,256,7.00,+61.26%,10.1,12.4,11.25,0,95,79.96%,35.67%,51%,0.956116,0.006914,-0.001624,0.011959,0.023897,92.16%,7.84%,53.28%,17.1,19.4,18.25
GPRE,Call,18.07,1.1,2027-01-15,256,30.00,-66.02%,1.15,1.25,1.2,0,8262,65.41%,35.67%,51%,0.257432,0.03236,-0.006212,0.048454,0.023088,17.74%,82.26%,16.01%,31.15,31.25,31.2
GPRE,Call,18.07,9.2,2028-01-21,627,17.00,+5.92%,6,9.3,7.65,18,103,104.77%,35.67%,51%,0.747941,0.012007,-0.005444,0.069509,0.063687,51.77%,48.23%,43.03%,23,26.3,24.65
GPRE,Call,18.07,8,2028-01-21,627,20.00,-10.68%,4.9,8.5,6.7,18,80,98.29%,35.67%,51%,0.695699,0.014203,-0.005759,0.077413,0.068465,46.86%,53.14%,40.17%,24.9,28.5,26.7
GPRE,Call,18.07,0,2028-01-21,627,15.00,+16.99%,5.5,10,7.75,0,30,75.71%,35.67%,51%,0.735767,0.017138,-0.004069,0.071607,0.079561,57.44%,42.56%,44.94%,20.5,25,22.75
GPRE,Call,18.07,0,2028-01-21,627,22.00,-21.75%,3.3,7.5,5.4,0,0,72.60%,35.67%,51%,0.592363,0.021688,-0.004914,0.087645,0.080421,41.81%,58.19%,36.18%,25.3,29.5,27.4
GPRE,Call,18.07,6.5,2028-01-21,627,12.00,+33.59%,7,12,9.5,0,50,84.41%,35.67%,51%,0.803605,0.012757,-0.003641,0.058954,0.069509,64.43%,35.57%,48.19%,19,24,21.5
GPRE,Call,18.07,0,2028-01-21,627,25.00,-38.35%,2,7,4.5,0,56,69.97%,35.67%,51%,0.529865,0.023189,-0.004926,0.090519,0.078595,36.17%,63.83%,33.07%,27,32,29.5
GPRE,Call,18.07,8.7,2028-01-21,627,10.00,+44.66%,8,12.5,10.25,0,2,81.38%,35.67%,51%,0.843711,0.011247,-0.002888,0.049705,0.065859,71.05%,28.95%,50.15%,18,22.5,20.25
GPRE,Call,18.07,0,2028-01-21,627,27.00,-49.42%,1.55,5.2,3.38,0,1,61.82%,35.67%,51%,0.455473,0.026322,-0.004414,0.09091,0.075592,31.01%,68.99%,28.62%,28.55,32.2,30.38
GPRE,Call,18.07,9.82,2028-01-21,627,7.00,+61.26%,10,15,12.5,0,132,98.00%,35.67%,51%,0.899314,0.006586,-0.002285,0.034373,0.045961,76.98%,23.02%,51.90%,17,22,19.5
GPRE,Call,18.07,0,2028-01-21,627,30.00,-66.02%,1.05,4.8,2.93,0,55,62.27%,35.67%,51%,0.408464,0.02568,-0.004386,0.089408,0.069923,26.73%,73.27%,25.36%,31.05,34.8,32.93
GPRE,Call,18.07,11.56,2028-01-21,627,5.00,+72.33%,11.5,16,13.75,0,1,101.03%,35.67%,51%,0.935423,0.00436,-0.001463,0.02279,0.033225,83.40%,16.60%,52.74%,16.5,21,18.75
GPRE,Call,18.07,0,2028-01-21,627,3.00,+83.40%,13,18,15.5,0,96,128.85%,35.67%,51%,0.960792,0.002103,-0.001027,0.013547,0.017444,85.62%,14.38%,52.87%,16,21,18.5
GPRE,Call,18.07,1.29,2026-05-15,11,18.00,+0.39%,1.1,1.35,1.23,225,6565,100.46%,35.67%,51%,0.543851,0.125744,-0.056892,0.012427,0.002546,50.89%,49.11%,37.53%,19.1,19.35,19.23
GPRE,Call,18.07,0.75,2026-05-15,11,19.00,-5.15%,0.75,0.95,0.85,188,1122,90.05%,35.67%,51%,0.404473,0.1371,-0.049847,0.012146,0.001972,37.41%,62.59%,28.48%,19.75,19.95,19.85
GPRE,Call,18.07,1.8,2026-05-15,11,17.00,+5.92%,1.75,1.9,1.83,99,6266,97.92%,35.67%,51%,0.671658,0.117516,-0.050552,0.011321,0.003063,64.02%,35.98%,41.40%,18.75,18.9,18.83
GPRE,Call,18.07,0.55,2026-05-15,11,20.00,-10.68%,0.45,0.65,0.55,443,3869,98.12%,35.67%,51%,0.305186,0.11379,-0.049098,0.010986,0.001493,27.57%,72.43%,23.38%,20.45,20.65,20.55
GPRE,Call,18.07,2.35,2026-05-15,11,16.00,+11.46%,2.25,2.85,2.55,5,105,83.76%,35.67%,51%,0.818385,0.100145,-0.031606,0.008254,0.003668,79.86%,20.14%,47.28%,18.25,18.85,18.55
GPRE,Call,18.07,0.33,2026-05-15,11,21.00,-16.21%,0.2,0.7,0.45,0,15,109.27%,35.67%,51%,0.243079,0.091295,-0.048832,0.009816,0.001184,21.41%,78.59%,19.99%,21.2,21.7,21.45
GPRE,Call,18.07,3.22,2026-05-15,11,15.00,+16.99%,2.9,3.5,3.2,2,50,90.36%,35.67%,51%,0.896859,0.063007,-0.023148,0.005603,0.003672,88.24%,11.76%,52.40%,17.9,18.5,18.2
GPRE,Call,18.07,0.13,2026-05-15,11,22.00,-21.75%,0.05,0.5,0.28,0,27,106.99%,35.67%,51%,0.167114,0.074548,-0.038229,0.007849,0.000826,14.47%,85.53%,14.19%,22.05,22.5,22.28
GPRE,Call,18.07,3.9,2026-05-15,11,14.00,+22.52%,4,4.4,4.2,209,224,110.38%,35.67%,51%,0.922926,0.04149,-0.022675,0.004506,0.00328,90.85%,9.15%,50.81%,18,18.4,18.2
GPRE,Call,18.07,0,2026-05-15,11,23.00,-27.28%,0.05,0.4,0.23,0,0,115.12%,35.67%,51%,0.1343,0.059889,-0.035549,0.006785,0.000662,11.37%,88.63%,11.16%,23.05,23.4,23.23
GPRE,Call,18.07,0,2026-05-15,11,24.00,-32.82%,0,0.45,0.23,0,0,128.68%,35.67%,51%,0.123452,0.050534,-0.037476,0.0064,0.000603,10.20%,89.80%,10.20%,24,24.45,24.23
GPRE,Call,18.07,0.13,2026-05-15,11,25.00,-38.35%,0,0.5,0.25,0,1,145.30%,35.67%,51%,0.122982,0.044635,-0.042194,0.006383,0.000591,9.90%,90.10%,9.90%,25,25.5,25.25
GPRE,Call,18.07,1.85,2026-06-18,45,18.00,+0.39%,1.7,2.1,1.9,10,96,71.84%,35.67%,51%,0.556576,0.086363,-0.020036,0.024968,0.009741,50.61%,49.39%,36.60%,19.7,20.1,19.9
GPRE,Call,18.07,1.2,2026-06-18,45,19.00,-5.15%,1.25,1.6,1.43,10,153,71.39%,35.67%,51%,0.470726,0.087617,-0.020072,0.025174,0.008491,42.07%,57.93%,32.48%,20.25,20.6,20.43
GPRE,Call,18.07,2.31,2026-06-18,45,17.00,+5.92%,2.15,2.55,2.35,19,282,70.12%,35.67%,51%,0.644709,0.083342,-0.01843,0.023517,0.010945,59.79%,40.21%,40.68%,19.15,19.55,19.35
GPRE,Call,18.07,1.05,2026-06-18,45,20.00,-10.68%,0.95,1.4,1.17,1,294,69.73%,35.67%,51%,0.385897,0.086286,-0.018858,0.024216,0.00716,33.93%,66.07%,27.29%,20.95,21.4,21.17
GPRE,Call,18.07,2.9,2026-06-18,45,16.00,+11.46%,2.75,3.2,2.98,14,587,69.80%,35.67%,51%,0.731646,0.073983,-0.016211,0.020778,0.011868,69.02%,30.98%,44.01%,18.75,19.2,18.98
GPRE,Call,18.07,0.65,2026-06-18,45,21.00,-16.21%,0.7,1.1,0.9,0,22,74.70%,35.67%,51%,0.330048,0.076281,-0.01912,0.022936,0.00613,28.34%,71.66%,24.26%,21.7,22.1,21.9
GPRE,Call,18.07,3.5,2026-06-18,45,15.00,+16.99%,2.9,4,3.45,0,270,61.15%,35.67%,51%,0.834241,0.063482,-0.010711,0.015619,0.013,80.71%,19.29%,51.76%,17.9,19,18.45
GPRE,Call,18.07,0,2026-06-18,45,22.00,-21.75%,0.4,1,0.7,0,31,75.40%,35.67%,51%,0.271331,0.069187,-0.017661,0.020997,0.005111,22.86%,77.14%,20.86%,22.4,23,22.7
GPRE,Call,18.07,3.8,2026-06-18,45,14.00,+22.52%,3.7,4.8,4.25,0,136,59.44%,35.67%,51%,0.906414,0.043501,-0.006932,0.010396,0.012776,88.93%,11.07%,53.95%,17.7,18.8,18.25
GPRE,Call,18.07,0.45,2026-06-18,45,23.00,-27.28%,0.25,0.75,0.5,0,16,73.73%,35.67%,51%,0.211912,0.061853,-0.015101,0.018359,0.004063,17.57%,82.43%,16.51%,23.25,23.75,23.5
GPRE,Call,18.07,0.35,2026-06-18,45,24.00,-32.82%,0.05,0.7,0.38,0,3,73.86%,35.67%,51%,0.16805,0.053537,-0.013115,0.01592,0.003254,13.69%,86.31%,13.52%,24.05,24.7,24.38
GPRE,Call,18.07,0.25,2026-06-18,45,25.00,-38.35%,0.05,0.5,0.28,0,28,73.63%,35.67%,51%,0.130624,0.045383,-0.011047,0.013454,0.002555,10.46%,89.54%,10.32%,25.05,25.5,25.28
GPRE,Call,18.07,6.99,2026-06-18,45,11.00,+39.13%,6.7,7.5,7.1,9,14,72.16%,35.67%,51%,0.980532,0.009796,-0.002174,0.002796,0.007607,97.49%,2.51%,53.25%,17.7,18.5,18.1
GPRE,Call,18.07,0.25,2026-06-18,45,26.00,-43.88%,0.15,0.3,0.22,104,2,77.65%,35.67%,51%,0.115981,0.039591,-0.010716,0.012379,0.002261,9.10%,90.90%,8.76%,26.15,26.3,26.22
GPRE,Call,18.07,0,2026-06-18,45,27.00,-49.42%,0,0.5,0.25,0,0,83.22%,35.67%,51%,0.110145,0.035607,-0.011065,0.011932,0.002127,8.47%,91.53%,8.47%,27,27.5,27.25
GPRE,Call,18.07,0,2026-06-18,45,28.00,-54.95%,0,0.55,0.28,0,0,90.59%,35.67%,51%,0.112045,0.033114,-0.012188,0.012079,0.002134,8.43%,91.57%,8.43%,28,28.55,28.28
GPRE,Call,18.07,0,2026-06-18,45,30.00,-66.02%,0,0.55,0.28,0,4,100.41%,35.67%,51%,0.103872,0.028289,-0.012788,0.011438,0.001948,7.52%,92.48%,7.52%,30,30.55,30.28
GPRE,Call,18.07,3.1,2026-09-18,137,18.00,+0.39%,2.3,3.5,2.9,0,34,65.33%,35.67%,51%,0.581947,0.053466,-0.010228,0.042766,0.026348,50.39%,49.61%,38.56%,20.3,21.5,20.9
GPRE,Call,18.07,2.36,2026-09-18,137,19.00,-5.15%,2.05,3.3,2.68,0,8,69.28%,35.67%,51%,0.536469,0.051365,-0.011044,0.043572,0.024371,45.29%,54.71%,35.96%,21.05,22.3,21.68
GPRE,Call,18.07,3.6,2026-09-18,137,17.00,+5.92%,3.2,3.8,3.5,0,29,68.97%,35.67%,51%,0.637192,0.048576,-0.010329,0.041,0.027196,55.74%,44.26%,39.60%,20.2,20.8,20.5
GPRE,Call,18.07,2.27,2026-09-18,137,20.00,-10.68%,1.55,2.7,2.13,0,9,64.64%,35.67%,51%,0.476507,0.055256,-0.010365,0.043743,0.02291,39.89%,60.11%,32.82%,21.55,22.7,22.13
GPRE,Call,18.07,3.49,2026-09-18,137,16.00,+11.46%,3.2,4.5,3.85,0,22,65.09%,35.67%,51%,0.690881,0.048232,-0.009127,0.038403,0.029081,61.99%,38.01%,43.95%,19.2,20.5,19.85
GPRE,Call,18.07,1.4,2026-09-18,137,21.00,-16.21%,1.3,2.6,1.95,0,44,67.59%,35.67%,51%,0.437901,0.052332,-0.010728,0.043322,0.021055,35.83%,64.17%,30.57%,22.3,23.6,22.95
GPRE,Call,18.07,4.5,2026-09-18,137,15.00,+16.99%,4.1,4.9,4.5,21,68,67.35%,35.67%,51%,0.74191,0.042639,-0.008606,0.035101,0.029212,67.41%,32.59%,44.66%,19.1,19.9,19.5
GPRE,Call,18.07,1.2,2026-09-18,137,22.00,-21.75%,1,2.3,1.65,0,20,66.76%,35.67%,51%,0.391203,0.051655,-0.01034,0.042246,0.019378,31.52%,68.48%,27.77%,23,24.3,23.65
GPRE,Call,18.07,3,2026-09-18,137,14.00,+22.52%,4.6,5.7,5.15,0,3,68.16%,35.67%,51%,0.790729,0.037365,-0.007688,0.031098,0.029037,72.95%,27.05%,47.24%,18.6,19.7,19.15
GPRE,Call,18.07,0.85,2026-09-18,137,23.00,-27.28%,0.95,1.9,1.42,0,12,66.88%,35.67%,51%,0.350877,0.049814,-0.010008,0.040813,0.01764,27.80%,72.20%,24.59%,23.95,24.9,24.42
GPRE,Call,18.07,0,2026-09-18,137,13.00,+28.06%,5,6.7,5.85,0,63,68.76%,35.67%,51%,0.835963,0.031683,-0.00659,0.02656,0.028553,78.28%,21.72%,50.37%,18,19.7,18.85
GPRE,Call,18.07,0.8,2026-09-18,137,24.00,-32.82%,0.85,1.65,1.25,0,26,67.49%,35.67%,51%,0.316228,0.047398,-0.009698,0.039192,0.016074,24.62%,75.38%,22.05%,24.85,25.65,25.25
GPRE,Call,18.07,0,2026-09-18,137,12.00,+33.59%,5.8,7.4,6.6,0,11,69.11%,35.67%,51%,0.877045,0.02577,-0.005357,0.021646,0.027259,83.32%,16.68%,51.42%,17.8,19.4,18.6
GPRE,Call,18.07,1,2026-09-18,137,25.00,-38.35%,0.55,1.6,1.08,0,62,67.44%,35.67%,51%,0.281877,0.045036,-0.009203,0.037215,0.014509,21.60%,78.40%,20.09%,25.55,26.6,26.08
GPRE,Call,18.07,0,2026-09-18,137,11.00,+39.13%,6.6,8,7.3,0,0,62.67%,35.67%,51%,0.927846,0.01888,-0.003155,0.01427,0.024802,90.20%,9.80%,52.74%,17.6,19,18.3
GPRE,Call,18.07,0,2026-09-18,137,26.00,-43.88%,0.45,1.4,0.92,0,3,67.43%,35.67%,51%,0.250779,0.04247,-0.008676,0.03509,0.013063,18.92%,81.08%,17.82%,26.45,27.4,26.92
GPRE,Call,18.07,6.6,2026-09-18,137,10.00,+44.66%,7.4,8.9,8.15,0,2,58.58%,35.67%,51%,0.964163,0.011269,-0.001561,0.007812,0.019324,95.04%,4.96%,54.19%,17.4,18.9,18.15
GPRE,Call,18.07,0,2026-09-18,137,27.00,-49.42%,0.4,1.2,0.8,0,3,67.54%,35.67%,51%,0.223331,0.039789,-0.008158,0.032934,0.011745,16.59%,83.41%,15.72%,27.4,28.2,27.8
GPRE,Call,18.07,0,2026-09-18,137,9.00,+50.19%,8.3,10,9.15,0,10,68.40%,35.67%,51%,0.967595,0.008863,-0.001632,0.007132,0.017047,95.19%,4.81%,54.14%,17.3,19,18.15
GPRE,Call,18.07,0,2026-09-18,137,28.00,-54.95%,0.4,1.1,0.75,0,0,69.51%,35.67%,51%,0.208122,0.037119,-0.008058,0.031621,0.010944,15.19%,84.81%,14.42%,28.4,29.1,28.75
GPRE,Call,18.07,0.43,2026-09-18,137,30.00,-66.02%,0.1,1,0.55,0,13,69.03%,35.67%,51%,0.162526,0.032063,-0.006866,0.027127,0.008708,11.53%,88.47%,11.38%,30.1,31,30.55
GPRE,Put,18.07,3.66,2026-12-18,228,18.00,-0.39%,3.3,4.4,3.85,0,10,71.24%,35.67%,51%,-0.379227,0.037337,-0.007932,0.053803,-0.054852,49.72%,50.28%,30.69%,14.7,13.6,14.15
GPRE,Put,18.07,0,2026-12-18,228,19.00,+5.15%,3.6,5,4.3,0,0,68.28%,35.67%,51%,-0.422198,0.040065,-0.007756,0.055264,-0.060319,53.70%,46.30%,31.82%,15.4,14,14.7
GPRE,Put,18.07,3.14,2026-12-18,228,17.00,-5.92%,2.4,3.8,3.1,0,16,67.88%,35.67%,51%,-0.343881,0.037886,-0.007347,0.052082,-0.048523,45.47%,54.53%,27.91%,14.6,13.2,13.9
GPRE,Put,18.07,0,2026-12-18,228,20.00,+10.68%,4,5.6,4.8,0,13,65.69%,35.67%,51%,-0.466772,0.042333,-0.007509,0.056056,-0.065561,57.75%,42.25%,33.09%,16,14.4,15.2
GPRE,Put,18.07,0,2026-12-18,228,16.00,-11.46%,2.1,3.2,2.65,0,0,69.41%,35.67%,51%,-0.302994,0.035156,-0.007175,0.049479,-0.042985,41.22%,58.78%,26.48%,13.9,12.8,13.35
GPRE,Put,18.07,0,2026-12-18,228,21.00,+16.21%,4.8,6.3,5.55,0,0,66.96%,35.67%,51%,-0.50063,0.041707,-0.007629,0.056158,-0.070216,61.18%,38.82%,34.83%,16.2,14.7,15.45
GPRE,Put,18.07,0,2026-12-18,228,15.00,-16.99%,1.75,2.65,2.2,0,71,70.16%,35.67%,51%,-0.263423,0.032511,-0.006817,0.046309,-0.037528,36.85%,63.15%,24.62%,13.25,12.35,12.8
GPRE,Put,18.07,0,2026-12-18,228,22.00,+21.75%,5.4,7,6.2,0,0,65.88%,35.67%,51%,-0.540018,0.042198,-0.007392,0.05578,-0.074778,64.73%,35.27%,36.03%,16.6,15,15.8
GPRE,Put,18.07,0,2026-12-18,228,14.00,-22.52%,1.2,2.3,1.75,0,0,69.93%,35.67%,51%,-0.224302,0.029908,-0.006261,0.04249,-0.031623,32.21%,67.79%,21.58%,12.8,11.7,12.25
GPRE,Put,18.07,0,2026-12-18,228,23.00,+27.28%,6.2,7.7,6.95,0,0,66.07%,35.67%,51%,-0.573385,0.041595,-0.007257,0.05501,-0.079437,67.79%,32.21%,37.50%,16.8,15.3,16.05
GPRE,Put,18.07,0,2026-12-18,228,13.00,-28.06%,0.95,1.9,1.42,0,0,71.61%,35.67%,51%,-0.188367,0.026337,-0.005808,0.038334,-0.026483,28.03%,71.97%,19.46%,12.05,11.1,11.58
GPRE,Put,18.07,1.42,2026-12-18,228,12.00,-33.59%,0.8,1.55,1.18,0,158,74.44%,35.67%,51%,-0.156595,0.022515,-0.005388,0.034092,-0.022219,24.33%,75.67%,17.60%,11.2,10.45,10.82
GPRE,Put,18.07,0,2026-12-18,228,25.00,+38.35%,7.6,9.3,8.45,0,0,65.03%,35.67%,51%,-0.641552,0.040337,-0.006645,0.052154,-0.086544,73.62%,26.38%,39.22%,17.4,15.7,16.55
GPRE,Put,18.07,0,2026-12-18,228,11.00,-39.13%,0.4,1.25,0.83,0,0,72.98%,35.67%,51%,-0.121509,0.019318,-0.004461,0.028698,-0.016966,19.48%,80.52%,14.24%,10.6,9.75,10.17
GPRE,Put,18.07,0,2026-12-18,228,10.00,-44.66%,0.2,1,0.6,0,502,73.99%,35.67%,51%,-0.093026,0.015715,-0.003743,0.023679,-0.012921,15.58%,84.42%,11.66%,9.8,9,9.4
GPRE,Put,18.07,0,2026-12-18,228,27.00,+49.42%,9.2,10.9,10.05,0,0,64.13%,35.67%,51%,-0.704371,0.037949,-0.005898,0.047859,-0.089384,78.59%,21.41%,40.99%,17.8,16.1,16.95
GPRE,Put,18.07,0,2026-12-18,228,9.00,-50.19%,0.05,0.9,0.48,0,0,78.07%,35.67%,51%,-0.072769,0.012381,-0.003292,0.019689,-0.010176,12.93%,87.07%,9.67%,8.95,8.1,8.52
GPRE,Put,18.07,0,2026-12-18,228,8.00,-55.73%,0.05,0.8,0.43,0,0,85.92%,35.67%,51%,-0.059908,0.009677,-0.003124,0.01694,-0.008583,11.51%,88.49%,8.77%,7.95,7.2,7.57
GPRE,Put,18.07,0.33,2026-12-18,228,7.00,-61.26%,0,0.75,0.38,0,15,94.48%,35.67%,51%,-0.048611,0.007458,-0.002917,0.014361,-0.007169,10.20%,89.80%,7.75%,7,6.25,6.62
GPRE,Put,18.07,0,2026-12-18,228,30.00,+66.02%,12,13.7,12.85,0,0,68.79%,35.67%,51%,-0.745804,0.032909,-0.005705,0.044272,-0.099321,82.45%,17.55%,42.48%,18,16.3,17.15
GPRE,Put,18.07,0,2026-12-18,228,5.00,-72.33%,0,0.65,0.33,0,27,119.82%,35.67%,51%,-0.032657,0.004258,-0.002687,0.010399,-0.005231,8.74%,91.26%,6.63%,5,4.35,4.67
GPRE,Put,18.07,0,2026-12-18,228,3.00,-83.40%,0,0.2,0.1,0,6470,128.14%,35.67%,51%,-0.010978,0.001577,-0.001144,0.004122,-0.001727,3.81%,96.19%,3.28%,3,2.8,2.9
GPRE,Put,18.07,0,2027-01-15,256,17.00,-5.92%,2.7,3.8,3.25,0,2,66.99%,35.67%,51%,-0.340653,0.036101,-0.006775,0.054931,-0.054621,45.67%,54.33%,28.78%,14.3,13.2,13.75
GPRE,Put,18.07,0,2027-01-15,256,20.00,+10.68%,4.4,5.7,5.05,0,88,66.48%,35.67%,51%,-0.453474,0.039336,-0.0071,0.059144,-0.073623,57.23%,42.77%,33.71%,15.6,14.3,14.95
GPRE,Put,18.07,0,2027-01-15,256,15.00,-16.99%,1.85,2.9,2.38,0,2,69.96%,35.67%,51%,-0.263753,0.030794,-0.006384,0.04905,-0.042654,37.53%,62.47%,24.68%,13.15,12.1,12.62
GPRE,Put,18.07,0,2027-01-15,256,22.00,+21.75%,5.8,6.9,6.35,0,1,65.02%,35.67%,51%,-0.528111,0.04045,-0.006847,0.059176,-0.083562,64.11%,35.89%,37.08%,16.2,15.1,15.65
